Row,z_1,z_2
0,-1.7317971122390983,-1.3222067030378737
1,-1.7326234689017113,-1.2151309274147417
2,-1.78218243358348,-0.7798956051214921
3,-1.7280229753256626,-0.562272675047799
4,-1.7102092266404019,-0.4821610030024527
5,-1.6958929490470862,-0.24525363330830913
6,-1.5380484235633056,0.5145727267043234
7,-0.93390136516039,1.4303666096971774
8,-0.09564950245592742,1.7958592585687263
9,-0.07465325368270247,1.8259809272144005
10,0.03863935201987904,1.9859120004789659
11,0.09245183511608722,2.0601198276656794
12,0.3205414542062595,2.288997903484633
13,0.4753143417959793,2.298265562710764
14,0.6684695596010537,2.3266031772146736
15,0.8078195589479884,2.287767936606223
16,0.8426365556155482,2.1980151390776155
17,1.0318284137163463,1.9633934421368984
18,1.1031708420655726,1.8984854495715964
19,1.2456060868991452,1.7155474840122726
20,1.401461482160326,1.429814542786162
21,1.4974810391421896,1.1917045186387232
22,1.4539956730664436,0.9865622430914646
23,1.4524413951596178,0.8098976584259507
24,1.4877142938874743,0.6467087172126752
25,1.5148552044641717,0.42515634982955197
26,1.5731006990910934,0.2643636951098286
27,1.5341320402494654,-0.03269834506824997
28,1.3992558420657057,-0.45363171153725923
29,1.2096643419982849,-1.0868570153825228
30,1.1074791834325524,-1.3557395849952594
31,1.0596432874795478,-1.5826542455165589
32,0.80109542359348,-2.1983763652229458
33,0.6605848185706916,-2.4392348680573064
34,0.47677330519511096,-2.6762288636816804
35,0.3823352850809445,-2.817105047500276
36,0.05399818532248443,-3.016586630296653
37,-0.16050841687488066,-2.9891058345349273
38,-0.4500356025981218,-2.764825833081275
39,-0.5100170370933466,-2.7474970997764907
40,-1.006801159134407,-2.580758843043227
41,-1.3214464264503398,-2.4111825116412167
42,-1.3709340048310144,-2.33460077105078
43,-1.5496301377100243,-2.1800198293300825
44,-1.7332340168793061,-1.7077614677274977
45,,
46,-1.7332340168793061,-1.7077614677274977
47,-1.6504509928296862,-2.0968926936635315
48,-1.7845073736886985,-2.003848749719619
49,,
50,-1.4766656385726833,1.1674809814853644
51,-1.3637637321001777,1.3895085155900957
52,-1.1804296146275008,1.4677840238243187
53,,
54,-1.037904538721042,1.471058749128859
55,-0.93390136516039,1.4303666096971774
56,-1.1804296146275008,1.4677840238243187
57,,
58,1.1247867394822983,-1.8428033936109345
59,0.80109542359348,-2.1983763652229458
60,1.069203548820222,-1.6847008415797722
61,,
62,1.3716220923515134,-0.6658160337955388
63,1.356483875293178,-0.8447040276868354
64,1.2096643419982849,-1.0868570153825228
